"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14118","Auditoría de accesibilidad y rendimiento Lighthouse","chromium","Sun Sep 07 13:57:39 GMT-05:00 2025","passed","Sun Sep 07 13:57:53 GMT-05:00 2025","","auditoriaLighthouse.spec.ts","",""
"","20601","Purchase Flow Complete","chromium","Wed Aug 20 15:30:46 GMT-05:00 2025","passed","Wed Aug 20 15:31:07 GMT-05:00 2025","Purchase Flow","purchaseFlow.spec.ts","",""
"","18537","Login exitoso con usuario válido","chromium","Wed Aug 20 14:26:05 GMT-05:00 2025","passed","Wed Aug 20 14:26:24 GMT-05:00 2025","Purchase Flow","purchaseFlow.spec.ts","",""
"","626","test","chromium","Sat Sep 06 19:35:53 GMT-05:00 2025","passed","Sat Sep 06 19:35:54 GMT-05:00 2025","","test-3.spec.ts","",""
"","48387","Purchase Flow Complete","chromium","Sun Sep 07 15:09:57 GMT-05:00 2025","passed","Sun Sep 07 15:10:45 GMT-05:00 2025","Purchase Flow","test_Double_Partners.spec.ts","",""
"","479","test","chromium","Sat Sep 06 19:37:45 GMT-05:00 2025","passed","Sat Sep 06 19:37:45 GMT-05:00 2025","","test-5.spec.ts","",""
"","27650","test","chromium","Sun Sep 07 08:49:19 GMT-05:00 2025","passed","Sun Sep 07 08:49:47 GMT-05:00 2025","","test-2.spec.ts","",""
"","561","test","chromium","Sat Sep 06 19:36:10 GMT-05:00 2025","passed","Sat Sep 06 19:36:10 GMT-05:00 2025","","test-4.spec.ts","",""
"","40054","test","chromium","Sun Sep 07 10:47:08 GMT-05:00 2025","broken","Sun Sep 07 10:47:48 GMT-05:00 2025","","test-1.spec.ts","",""
"","22094","Auditoría de accesibilidad y rendimiento Lighthouse","chromium","Wed Aug 20 12:49:17 GMT-05:00 2025","passed","Wed Aug 20 12:49:39 GMT-05:00 2025","","auditoríaLighthouse.spec.ts","",""
